age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job_n,marital_n,education_n,default_n,housing_n,loan_n,contact_n,month_n,day_of_week_n,poutcome_n
48.0,256.0,3.0,999.0,0.0,1.4,93.918,-42.7,4.966,5228.1,3.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0
53.0,184.0,1.0,999.0,1.0,-0.1,93.2,-42.0,4.076,5195.8,6.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0
31.0,102.0,4.0,999.0,0.0,1.1,93.994,-36.4,4.86,5191.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
42.0,298.0,2.0,999.0,0.0,1.4,94.465,-41.8,4.967,5228.1,2.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
42.0,168.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.963,5228.1,2.0,0.0,6.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0
58.0,321.0,3.0,999.0,1.0,-0.1,93.2,-42.0,4.021,5195.8,5.0,2.0,4.0,0.0,1.0,0.0,1.0,5.0,4.0,1.0
38.0,418.0,3.0,999.0,0.0,-1.8,92.893,-46.2,1.344,5099.1,3.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
36.0,135.0,1.0,999.0,0.0,1.4,94.465,-41.8,4.96,5228.1,6.0,0.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
47.0,242.0,1.0,999.0,1.0,-1.8,92.893,-46.2,1.344,5099.1,6.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
28.0,138.0,4.0,999.0,0.0,1.4,94.465,-41.8,4.947,5228.1,6.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25.0,111.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.962,5228.1,3.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0
30.0,137.0,1.0,999.0,0.0,-2.9,92.963,-40.8,1.26,5076.2,4.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0
33.0,118.0,2.0,999.0,1.0,-1.8,92.893,-46.2,1.344,5099.1,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
50.0,176.0,1.0,7.0,2.0,-3.4,92.649,-30.1,0.714,5017.5,2.0,0.0,6.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0
29.0,112.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.966,5228.1,4.0,0.0,4.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0
34.0,164.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
39.0,306.0,2.0,999.0,0.0,1.4,93.918,-42.7,4.956,5228.1,3.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0
56.0,41.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.957,5228.1,2.0,0.0,6.0,0.0,2.0,2.0,1.0,2.0,4.0,0.0
32.0,141.0,2.0,999.0,0.0,1.4,93.444,-36.1,4.965,5228.1,2.0,1.0,6.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0
31.0,196.0,2.0,999.0,0.0,1.4,93.918,-42.7,4.96,5228.1,3.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
38.0,178.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.963,5228.1,4.0,0.0,6.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0
50.0,91.0,1.0,999.0,0.0,1.4,94.465,-41.8,4.967,5228.1,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0
47.0,352.0,3.0,999.0,0.0,1.1,93.994,-36.4,4.864,5191.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0
51.0,158.0,5.0,999.0,0.0,1.1,93.994,-36.4,4.858,5191.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58.0,322.0,2.0,999.0,0.0,1.4,94.465,-41.8,4.955,5228.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
43.0,266.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0
33.0,117.0,1.0,999.0,0.0,1.4,94.465,-41.8,4.961,5228.1,6.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
39.0,145.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,6.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0
36.0,146.0,1.0,999.0,1.0,-3.4,92.431,-26.9,0.742,5017.5,2.0,1.0,6.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0
53.0,155.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.961,5228.1,3.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0
43.0,207.0,1.0,999.0,0.0,1.4,94.465,-41.8,4.967,5228.1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
31.0,282.0,1.0,999.0,0.0,-1.8,92.893,-46.2,1.299,5099.1,4.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
31.0,100.0,3.0,999.0,0.0,1.4,94.465,-41.8,4.959,5228.1,6.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0
33.0,186.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.962,5228.1,3.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0
59.0,46.0,2.0,999.0,0.0,1.4,93.918,-42.7,4.961,5228.1,5.0,2.0,6.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0
28.0,251.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.962,5228.1,3.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0
45.0,29.0,2.0,999.0,0.0,1.4,94.465,-41.8,4.962,5228.1,3.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0
53.0,274.0,2.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
51.0,115.0,2.0,999.0,0.0,-2.9,92.201,-31.4,0.881,5076.2,4.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0
61.0,104.0,5.0,999.0,0.0,-1.8,92.893,-46.2,1.354,5099.1,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
28.0,227.0,1.0,999.0,0.0,1.4,94.465,-41.8,4.967,5228.1,2.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
35.0,218.0,2.0,999.0,0.0,-0.1,93.2,-42.0,4.076,5195.8,2.0,1.0,6.0,0.0,1.0,0.0,1.0,5.0,3.0,0.0
29.0,151.0,1.0,999.0,0.0,-1.7,94.215,-40.3,0.835,4991.6,3.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0
45.0,265.0,3.0,999.0,0.0,-1.8,92.893,-46.2,1.327,5099.1,6.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0
53.0,304.0,2.0,3.0,1.0,-2.9,92.963,-40.8,1.268,5076.2,2.0,1.0,6.0,0.0,1.0,0.0,1.0,1.0,4.0,2.0
28.0,515.0,1.0,999.0,0.0,-1.8,92.843,-50.0,1.531,5099.1,2.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,4.0,0.0
44.0,217.0,1.0,999.0,1.0,-1.8,92.893,-46.2,1.25,5099.1,6.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0
32.0,328.0,1.0,999.0,1.0,-2.9,92.201,-31.4,0.854,5076.2,2.0,0.0,6.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0
49.0,275.0,4.0,999.0,0.0,1.4,93.918,-42.7,4.961,5228.1,7.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0
39.0,589.0,2.0,999.0,0.0,1.4,93.918,-42.7,4.96,5228.1,2.0,1.0,6.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
56.0,338.0,2.0,4.0,1.0,-2.9,92.201,-31.4,0.879,5076.2,2.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0
31.0,146.0,2.0,12.0,3.0,-1.1,94.601,-49.5,0.982,4963.6,4.0,0.0,6.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0
44.0,200.0,1.0,999.0,1.0,-0.1,93.2,-42.0,4.191,5195.8,2.0,0.0,4.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0
36.0,216.0,4.0,999.0,0.0,-1.8,92.893,-46.2,1.281,5099.1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
53.0,178.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.966,5228.1,3.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0
57.0,195.0,3.0,999.0,0.0,1.4,93.444,-36.1,4.964,5228.1,4.0,0.0,4.0,1.0,1.0,0.0,1.0,3.0,4.0,0.0
54.0,56.0,5.0,999.0,0.0,-1.8,92.893,-46.2,1.313,5099.1,4.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0
30.0,195.0,1.0,999.0,0.0,-1.8,92.893,-46.2,1.244,5099.1,4.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45.0,323.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.963,5228.1,3.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0
46.0,215.0,1.0,999.0,1.0,-2.9,92.963,-40.8,1.268,5076.2,4.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0
46.0,550.0,3.0,999.0,0.0,1.4,94.465,-41.8,4.865,5228.1,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
34.0,243.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0
32.0,136.0,3.0,999.0,0.0,-1.8,92.843,-50.0,1.52,5099.1,2.0,1.0,6.0,0.0,2.0,2.0,1.0,7.0,0.0,0.0
29.0,252.0,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,4.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27.0,160.0,1.0,999.0,0.0,-1.8,92.893,-46.2,1.264,5099.1,2.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37.0,56.0,3.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36.0,141.0,4.0,999.0,0.0,-1.8,92.893,-46.2,1.281,5099.1,3.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0
34.0,193.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.966,5228.1,2.0,0.0,6.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0
38.0,321.0,1.0,999.0,0.0,-2.9,92.469,-33.6,1.044,5076.2,4.0,1.0,6.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0
55.0,178.0,1.0,999.0,0.0,-0.1,93.2,-42.0,4.076,5195.8,5.0,2.0,3.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0
30.0,195.0,1.0,999.0,3.0,-1.1,94.601,-49.5,0.977,4963.6,4.0,1.0,5.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0
36.0,300.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.963,5228.1,2.0,1.0,6.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0
51.0,158.0,3.0,999.0,0.0,1.4,93.444,-36.1,4.968,5228.1,4.0,2.0,4.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0
32.0,147.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.962,5228.1,3.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0
29.0,171.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,54.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.968,5228.1,4.0,1.0,4.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0
36.0,89.0,1.0,999.0,0.0,-1.8,92.893,-46.2,1.313,5099.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0
25.0,16.0,4.0,999.0,0.0,-1.8,92.893,-46.2,1.244,5099.1,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
51.0,81.0,2.0,999.0,0.0,1.4,93.444,-36.1,4.964,5228.1,7.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0
30.0,180.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.963,5228.1,2.0,0.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
44.0,65.0,2.0,999.0,0.0,-1.8,92.893,-46.2,1.299,5099.1,3.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
32.0,143.0,2.0,999.0,0.0,1.4,94.465,-41.8,4.967,5228.1,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
47.0,180.0,4.0,999.0,0.0,1.4,94.465,-41.8,4.959,5228.1,4.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0
47.0,230.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
55.0,213.0,3.0,999.0,0.0,1.4,93.444,-36.1,4.963,5228.1,3.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0
49.0,169.0,1.0,999.0,0.0,-2.9,92.963,-40.8,1.268,5076.2,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0
56.0,335.0,2.0,999.0,0.0,1.4,93.918,-42.7,4.961,5228.1,3.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0
60.0,347.0,2.0,4.0,1.0,-1.1,94.767,-50.8,1.035,4963.6,3.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,2.0
38.0,295.0,2.0,999.0,0.0,1.4,93.444,-36.1,4.968,5228.1,0.0,0.0,6.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0
33.0,402.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.962,5228.1,2.0,1.0,6.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0
25.0,118.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.858,5191.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
43.0,114.0,1.0,999.0,0.0,1.4,94.465,-41.8,4.865,5228.1,7.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
32.0,169.0,1.0,999.0,0.0,-1.8,92.893,-46.2,1.244,5099.1,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
63.0,131.0,4.0,999.0,2.0,-3.4,92.649,-30.1,0.715,5017.5,6.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0
44.0,46.0,3.0,999.0,0.0,1.4,93.918,-42.7,4.962,5228.1,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
41.0,75.0,1.0,999.0,1.0,-2.9,92.201,-31.4,0.873,5076.2,3.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0
25.0,30.0,2.0,999.0,0.0,-1.8,92.893,-46.2,1.244,5099.1,4.0,1.0,4.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
59.0,140.0,4.0,999.0,0.0,1.4,93.444,-36.1,4.964,5228.1,5.0,0.0,6.0,1.0,0.0,1.0,1.0,3.0,4.0,0.0
32.0,96.0,1.0,999.0,0.0,-2.9,92.201,-31.4,0.859,5076.2,4.0,1.0,6.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0
48.0,127.0,3.0,999.0,0.0,1.4,93.444,-36.1,4.963,5228.1,6.0,0.0,6.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0
30.0,214.0,3.0,999.0,0.0,-2.9,92.963,-40.8,1.26,5076.2,2.0,1.0,6.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0
36.0,45.0,3.0,999.0,0.0,1.4,94.465,-41.8,4.865,5228.1,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
49.0,191.0,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
25.0,601.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.859,5191.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0
31.0,417.0,3.0,999.0,0.0,1.4,94.465,-41.8,4.962,5228.1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0
57.0,564.0,1.0,999.0,0.0,-3.4,92.649,-30.1,0.715,5017.5,4.0,0.0,4.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0
55.0,41.0,3.0,999.0,0.0,-1.8,92.893,-46.2,1.25,5099.1,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0
36.0,195.0,4.0,999.0,0.0,1.1,93.994,-36.4,4.858,5191.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27.0,79.0,4.0,999.0,0.0,-1.8,92.893,-46.2,1.25,5099.1,3.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0
37.0,99.0,2.0,999.0,0.0,1.4,93.918,-42.7,4.963,5228.1,3.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0
32.0,107.0,1.0,999.0,0.0,-3.4,92.649,-30.1,0.716,5017.5,6.0,0.0,6.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0
29.0,107.0,1.0,999.0,0.0,-2.9,92.201,-31.4,0.881,5076.2,2.0,1.0,6.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0
44.0,105.0,2.0,999.0,0.0,1.4,93.444,-36.1,4.968,5228.1,7.0,0.0,4.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0
27.0,187.0,2.0,999.0,0.0,1.4,94.465,-41.8,4.961,5228.1,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
36.0,221.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
33.0,294.0,2.0,999.0,0.0,-0.1,93.2,-42.0,4.076,5195.8,3.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,3.0,0.0
33.0,15.0,1.0,999.0,0.0,-1.7,94.215,-40.3,0.822,4991.6,3.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0
45.0,178.0,1.0,999.0,0.0,-0.1,93.2,-42.0,4.153,5195.8,4.0,2.0,4.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0
32.0,132.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45.0,58.0,1.0,999.0,0.0,-2.9,92.469,-33.6,1.044,5076.2,4.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
60.0,162.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.962,5228.1,2.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0
61.0,300.0,1.0,21.0,5.0,-1.1,94.767,-50.8,1.044,4963.6,2.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,2.0,1.0
38.0,152.0,2.0,999.0,0.0,-1.8,92.893,-46.2,1.266,5099.1,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0
39.0,346.0,4.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
39.0,155.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.965,5228.1,2.0,1.0,6.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0
43.0,141.0,4.0,999.0,0.0,1.4,93.918,-42.7,4.962,5228.1,3.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0
32.0,280.0,6.0,999.0,0.0,1.4,93.918,-42.7,4.968,5228.1,4.0,0.0,6.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0
55.0,176.0,3.0,999.0,0.0,1.4,93.444,-36.1,4.963,5228.1,3.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0
34.0,339.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.959,5228.1,7.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0
38.0,205.0,1.0,999.0,0.0,-0.1,93.2,-42.0,4.153,5195.8,4.0,0.0,4.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0
42.0,128.0,3.0,999.0,0.0,-2.9,92.201,-31.4,0.834,5076.2,5.0,2.0,7.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0
58.0,60.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.964,5228.1,2.0,0.0,6.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0
45.0,333.0,1.0,999.0,0.0,1.4,94.465,-41.8,4.866,5228.1,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0
29.0,153.0,2.0,999.0,0.0,1.1,93.994,-36.4,4.859,5191.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
25.0,72.0,2.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
36.0,357.0,4.0,999.0,0.0,1.4,94.465,-41.8,4.864,5228.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
43.0,88.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.963,5228.1,4.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0
29.0,206.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.962,5228.1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0
34.0,185.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.963,5228.1,4.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0
49.0,75.0,2.0,999.0,0.0,1.4,93.918,-42.7,4.968,5228.1,4.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0
36.0,174.0,1.0,999.0,0.0,-0.1,93.2,-42.0,4.076,5195.8,4.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0
33.0,141.0,2.0,999.0,0.0,1.4,93.918,-42.7,4.963,5228.1,4.0,1.0,6.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0
33.0,58.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.966,5228.1,2.0,0.0,6.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0
51.0,212.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
32.0,245.0,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
51.0,108.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.963,5228.1,2.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0
44.0,231.0,2.0,999.0,0.0,-0.1,93.2,-42.0,4.191,5195.8,6.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0
37.0,46.0,3.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,4.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
23.0,259.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.962,5228.1,3.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0
35.0,86.0,3.0,999.0,1.0,-0.1,93.2,-42.0,4.021,5195.8,2.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,4.0,1.0
44.0,133.0,2.0,999.0,1.0,-1.8,92.893,-46.2,1.266,5099.1,3.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
32.0,75.0,2.0,999.0,0.0,-0.1,93.2,-42.0,4.076,5195.8,3.0,1.0,3.0,0.0,1.0,0.0,1.0,5.0,3.0,0.0
32.0,102.0,2.0,999.0,0.0,1.4,94.465,-41.8,4.865,5228.1,2.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
47.0,362.0,2.0,999.0,0.0,1.4,93.918,-42.7,4.962,5228.1,4.0,0.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0
58.0,34.0,1.0,999.0,0.0,-0.1,93.2,-42.0,4.191,5195.8,5.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0
44.0,592.0,4.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37.0,520.0,2.0,999.0,0.0,1.4,93.444,-36.1,4.965,5228.1,4.0,2.0,4.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0
44.0,69.0,1.0,999.0,1.0,-1.8,92.893,-46.2,1.313,5099.1,6.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0
30.0,483.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.957,5228.1,2.0,0.0,6.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0
25.0,340.0,3.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
39.0,273.0,2.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40.0,194.0,3.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,2.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35.0,49.0,3.0,999.0,0.0,-0.1,93.2,-42.0,4.191,5195.8,2.0,2.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0
43.0,110.0,3.0,999.0,0.0,-1.8,92.893,-46.2,1.27,5099.1,2.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0
